!exclamation-point|ʔ e k s k l ɐ m a ʃ o n p o ʔ ɪ n t
temperamentally(2)|t e m p e ɾ ɐ m e n t a l l ɪ
tencza|t e n t͡ʃ a
teng-wen|t e ŋ - w e n
tennenbaum|t e n n e m b a ʔ ʊ m
tentatively(2)|t e n t ɐ t i b e l j
teper|t e p e ɾ
teradyne|t e ɾ ɐ d͡ʒ i n e
tereza|t e ɾ e s ɐ
terre|t e ɾ ɾ e
terrorizing|t e ɾ ɾ o ɾ i s ɪ ŋ
tervo|t e ɾ b o
testerman|t e s t e ɾ m ɐ n
testrake|t e s t ɾ a x e
tetramerous|t e t ɾ ɐ m e ɾ o ʊ s
tetterton|t e t e ɾ t o n
tevis|t e b ɪ s
texasgulf|t e k s ɐ s ɡ ʊ l f
thane|t h a n e
the(3)|t e
thelonius|t e l o n j ʊ s
thibeaux|t ɪ b o ʃ
thielen|t h i e l e n
thirza|t h ɪ ɾ s a
thommen|t o m e n
thorndyke|t h o ɾ n d ɪ x e
thrashed|t h ɾ ɐ s h e d
threefold|θ ɾ e e f o l d
thumma|t ʊ m m a ʔ
thuot(2)|t h ʊ ʔ o t
thursday's(2)|tʰ ʊ ɾ s d e ɪ̯ s
tibbett|t ɪ b b e t t
tieu|t͡ʃ e ʊ̯
tike|t i x e
tinkering|t ɪ ŋ k e ɾ ɪ ŋ
tirone|t ɪ ɾ o n e
tish's|t ɪ ʃ
titillate|t ɪ t ɪ l l a t e
to(3)|t o ʔ ɪ s
tocco|t o k o
toggling|t o ɡ ɡ l ɪ ŋ
tokars|t o x a ɾ s
tomanek|t o m a n e k
tomassetti|t o m ɐ s e t ɪ
toolan|t o ʔ o l ɐ n
toquepala|t o x e p a l ɐ
touareg|t o w ɐ ɾ e ɡ
touvier's|t o w b j e ɾ s
townsfolk|t o ʊ̯ n s f o l k
toyota's|t o j o t ɐ s
trageser|t ɾ ɐ ɰ e s e ɾ
trajan's|t ɾ a h ɐ n s
tramell|t ɾ ɐ m e l l
transact|t ɾ ɐ n s a k t
transamerica's|t ɾ ɐ n s ɐ m e ɾ ɪ x ɐ s
transcontinental(4)|t ɾ ɐ n s k o n t ɪ n e n t ɐ l
transillumination|t ɾ ɐ n s ɪ l l ʊ m ɪ n ɐ ʃ o n
translation(2)|t ɾ ɐ n s l ɐ ʃ o n
transmit|t ɾ ɐ n s m i t
transohio|t ɾ ɐ n s o h ɪ o
transports(2)|t ɾ ɐ n s p o ɾ t s
transwestern|t ɾ ɐ n s w e s t e ɾ n
traphagen|t ɾ ɐ p h a ɰ e n
traversed|t ɾ ɐ b e ɾ s e d
treeless|t ɾ e e l e s
trejo|t ɾ e h o
trembling(2)|t ɾ e m b l ɪ ŋ
trends(2)|t ɾ e n d s
trenton's|t ɾ e n t o n s
tribble|t ɾ i b b l e
trifling|t ɾ i f l ɪ ŋ
trippe|t ɾ i p p e
trivest(2)|t ɾ ɪ b e s t
trogdon|t ɾ o ɡ d o n
trolling|t ɾ o l l ɪ ŋ
trost|t ɾ o s t
troublefield|t ɾ o ʊ̯ b ə l f iː l d
troyanos|t ɾ o j a n o s
trudged|t ɾ ʊ d͡ʒ e d
trulock|t ɾ ʊ l o k
trumps|t ɾ u m p s
trus|t ɾ ʊ s
tumbled|t u m b l e d
tungsrom's|t ʊ ŋ s ɾ o m s
turgut|t ʊ ɾ ɡ u t
turnbow|t ʊ ɾ n b o ʊ̯
tyo(2)|t͡ʃ o ʔ o
tyrell|t ɪ ɾ e l l
tyus|t͡ʃ ʊ s
udall|ʔ ʊ d a l l
uehling|ʔ ʊ e h l i ŋ
ugalde|ʔ ʊ ɰ a l d e
uher|ʔ ʊ h e ɾ
ulibarri|ʔ ʊ l ɪ b a ɾ ɪ
ullyses|ʔ ʊ l l ɪ s e s
unaffordable|ʔ ʊ n ɐ f f o ɾ d ɐ b l e
unanswerable|ʔ ʊ n ɐ n s w e ɾ ɐ b l e
unavoidable|ʔ ʊ n ɐ b o ɪ̯ d a b l e
unbowed|ʔ ʊ m b o w e d
unceremoniously|ʔ ʊ n s e ɾ e m o ɲ ʊ s l i
unconditionally(2)|ʔ ʊ ŋ k o n d ɪ ʃ o n a l l ɪ x
uncouth|ʔ ʊ ŋ k o ʊ̯ θ
underbrush|ʔ ʊ n d e ɾ b ɾ u ʃ
underpaying|ʔ ʊ n d e ɾ p e j ɪ ŋ
underseas|ʔ ʊ n d e ɾ s e ɐ s
understory|ʔ ʊ n d e ɾ s t o ɾ i
undetermined(2)|ʔ ʊ n d e t e ɾ m ɪ n e d
unenthusiastic|ʔ ʊ n e n t h ʊ s ɪ a s t ɪ k
unforgiving|ʔ ʊ n f o ɾ ɡ i b ɪ ŋ
unhindered|ʔ ʊ ŋ h ɪ n d e ɾ e d
unigesco|ʔ ʊ n ɪ h e s k o
unimproved|ʔ ʊ n ɪ m p ɾ o b e d
uninterruptible(2)|ʔ ʊ n ɪ n t e ɾ ʊ p t i b l e
unland|ʔ ʊ n l a n d
unmentioned|ʔ ʊ m m e n ʃ o n e d
unocal(2)|ʔ ʊ n o x ɐ l
unpretentious|ʔ ʊ n p ɾ e t e n ʃ o ʊ s
unraveling(2)|ʔ ʊ n ɾ ɐ b e l ɪ ŋ
unreliable(2)|ʔ ʊ n ɾ e l j a b l e
unsaid|ʔ ʊ n s a ʔ ɪ d
unsell|ʔ ʊ n s e l l
unsmiling|ʔ ʊ n s m i l ɪ ŋ
unusually|ʔ ʊ n ʊ s w a l l ɪ
unworried|ʔ ʊ n w o ɾ ɾ ɪ e d
updating|ʔ ʊ p d a t ɪ ŋ
uprooted|ʔ ʊ p ɾ o ʔ o t e d
uptegrove|ʔ ʊ p t e ɡ ɾ o b e
uranga|ʔ ʊ ɾ a ŋ ɐ
urman|ʔ ʊ ɾ m a n
usually(2)|ʔ ʊ s w ɐ l l ɪ
utgoff|ʔ ʊ t ɡ o f
utterance|ʔ ʊ t e ɾ a n s e
vaccinate|b ɐ k s ɪ n a t e
vacuums|b ɐ x u ʊ m s
valores|b ɐ l o ɾ e s
valvano|b ɐ l b a n o
vanaman|b ɐ n a m ɐ n
vancleve|b ɐ ŋ k l e b e
vandemark|b ɐ n d e m a ɾ k
vanderkolk|b ɐ n d e ɾ k o l k
vandervort|b ɐ n d e ɾ b o ɾ t
vandriel|b ɐ n d ɾ i e l
vanhorn|b ɐ ŋ h o ɾ n
vankirk|b ɐ ŋ k i ɾ k
vannest|b ɐ n n e s t
vanquish|b ɐ ŋ k i ʃ
vanvoorhis|b ɐ n b o ʔ o ɾ h ɪ s
varn|b ɐ ɾ n
varrone|b ɐ ɾ o n e
vehicles'|b e h ɪ k l e s
venal|b e n ɐ l
vendome(2)|b e n d o m e
venneman|b e n n e m ɐ n
ventner|b e n t n e ɾ
ventured|b e n t ʊ ɾ e d
verda|b e ɾ d ɐ
verges(2)|b e ɾ ɡ e s
verrett|b e ɾ e t͡ʃ
versteeg|b e ɾ s t e ʔ e ɡ
vessell|b e s e l l
vetoed|b e t o e d
vevila|b e b i l ɐ
viar|b ɪ ɐ ɾ
vibrancy|b ɪ b ɾ a n s ɪ
vicker|b ɪ k e ɾ
victim's|b ɪ k t i m s
videoconferencing|b ɪ d e o x o n f e ɾ e n s ɪ ŋ
viewfinder|b j ʊ f ɪ n d e ɾ
viglund|b ɪ ɡ l u n d
villanovan|b ɪ l l ɐ n o b ɐ n
villers|b ɪ l j e ɾ s
vivendi|b ɪ b e n d ɪ
vogeler|b o ɰ e l e ɾ
vold|b o l d
volner|b o l n e ɾ
vonny|b o n ɪ
vorhees|b o ɾ h e e s
voss|b o s
voyaged|b o j ɐ ɰ e d
wachsmuth|w ɐ t͡ʃ s m u t
walczak|w ɐ l t͡ʃ a k
walkman|w ɐ l k m a n
wallie|w ɐ l j e
wallowed|w ɐ l l o w e d
walp|w ɐ l p
walth|w ɐ l t h
wangle|w ɐ ŋ l e
wasn't|w ɐ s n t
wastebaskets|w ɐ s t e b ɐ s k e t s
watershed(2)|w ɐ t e ɾ ʃ e d
wattenbarger|w ɐ t e n b ɐ ɾ ɡ e ɾ
wayne's|w a ɪ̯ n e s
wearever|w e ɐ ɾ e b e ɾ
weaver's|w i : b e ɾ s
webers|w e b e ɾ s
weck|w e k
wedged|w e d͡ʒ e d
weeding|w e e d ɪ ŋ
weger|w e ɰ e ɾ
weibel|w e ɪ̯ b e l
weidner|w e ɪ̯ d n e ɾ
weir's|w e ɪ̯ ɾ s
weisel(3)|w e ɪ̯ s e l
weisner|w e ɪ̯ s n e ɾ
weldon|w e l d o n
wellcome's|w e l k o m e s
wendler|w e n d l e ɾ
wennberg|w e n n b e ɾ ɡ
werman|w e ɾ m ɐ n
werts|w e ɾ t͡ʃ
wesolowski|w e s o l o ʊ̯ s k i
westcorp|w e s t k o ɾ p
westernmost|w e s t e ɾ m o s t
westmark|w e s t m ɐ ɾ k
westtech's|w e s t e t͡ʃ
wettengel|w e t͡ʃ e ŋ e l
weyl|w e ɪ̯ l
whatever's|w ɐ t e b e ɾ s
wheezing|w e ʔ e s ɪ ŋ
whetzel|w e t͡ʃ e l
whigs|w h ɪ ɡ s
whining|w h i n ɪ ŋ
whipsaw(2)|w ɪ p s a ʊ̯
whistle(2)|w ɪ s t l e ʔ
whitchurch|w ɪ t͡ʃ u ɾ t͡ʃ
whitehouse(2)|w ɪ t h o ʊ̯ s
whiter|w h ɪ t e ɾ
whitewater's(2)|w ɪ t w ɔ t e ɾ s
whitrow|w ɪ t ɾ o ʊ̯
whobrey|w o b ɾ e ɪ̯
whoops|w h ʊ p s
wiberg|w ɪ b e ɾ ɡ
wickey|w ɪ k e ɪ̯
wiedel|w i e d e l
wiersma|w i e ɾ s m ɐ
wigand's|w ɪ ɰ a n d s
wigwam|w ɪ ɡ w a m
wildmon|w ɪ l d m o n
willamette's(2)|w ɪ l l ɐ m e t e s
willhoite|w ɪ l l h o ɪ̯ t e
willman|w ɪ l m a n
wilmeth|w ɪ l m e θ
wiltron|w ɪ l t ɾ o n
wimsatt|w ɪ m s a t
windheim|w ɪ n d h e ʔ ɪ m
windt|w ɪ n d t
winget|w ɪ ŋ e t
winnett|w ɪ n n e t
winzer|w ɪ n s e ɾ
wirsing|w ɪ ɾ s i ŋ
wisinski|w ɪ s i n s k ɪ
withdrawals(2)|w ɪ θ d ɾ a w ɐ l s
wm(2)|ʔ uː m e ʔ
woelfel|w o e l f e l
wojcik|w o d͡ʒ s ɪ k
wolenzac|w o l e n s ɐ k
wolgamott|w o l ɡ ɐ m o t
woloszyn|w o l o s ɪ n
wondrous|w o n d ɾ o ʊ s
woodchip|w ʊ d t͡ʃ i p
woodlief|w ʊ d l i f
woodsmen|w ʊ d s m e n
woolen|w ʊ l e n
woolums|w ʊ l u m s
word's|ʔ o ɾ d s
worksheets|w o ɾ k ʃ e ɪ̯ t s
worthen's|w ʊ ɾ θ e n s
wound(2)|w ʊ n d
wrestle|ʔ w ɾ e s t l e
wrinkling(2)|ʔ ʊ ɾ ɪ ŋ k l i ŋ k
wrongdoings|ʔ ʊ ɾ o ŋ d o ʔ ɪ ŋ s
wuerth|w ʊ e ɾ θ
wunschel|w ʊ n ʃ e l
wykes|w ɪ x e s
x-rays|ʔ ɪ k s ɾ a ɪ̯ s
yackley|j a k l e ɪ̯
yakutakay|j ɐ x ʊ t a x a ɪ̯
yarosh|j ɐ ɾ o ʃ
yass|j ɐ s
yawning|j a ʊ̯ n ɪ ŋ
yeagley|j e ɐ ɡ l e ɪ̯
yesterday's|j e s t e ɾ d e ɪ̯ s
yocam|j o x ɐ m
yongbyon|j o ŋ b j o n
yost|j o s t
younes|j o ʊ̯ n e s
younts|j o ʊ n t s
yugo's|j ʊ ɰ o s
yuichi(2)|j ʊ ʔ ɪ t͡ʃ i
yurko|j ʊ ɾ k o
zaitsev's|s a ɪ̯ t͡ʃ e b s
zandy|s a n d ɪ
zebell|s e b e l l
zedillo's(2)|s e d i l j o s
zeien|s e j e n
zeitlin|s e ɪ̯ t l i n
zelinsky|s e l i n s k ɪ
zenner|s e n e ɾ
zertuche|s e ɾ t u t͡ʃ e
zhirinovsky's(2)|ʒ ɪ ɾ ɪ n ɔ b s k i s
zig-zag|s ɪ ɡ z a ɡ
zillionaire|s ɪ l l j o n a ɪ̯ ɾ e
zionist|s ɪ o n i s t
zirbes|s ɪ ɾ b e s
zlogar|s l o ɰ ɐ ɾ
zoomed|s u m e d
zuckerman's|s ʊ k e ɾ m ɐ n s
zukowski|s ʊ x o ʊ̯ s k i
zungu|s u ŋ ʊ
zwiebel|s w i e b e l
zyman|s ɪ m a n
zzzz(2)|s a z a s a s
ackley|ʔ ɐ k l e ɪ̯
acquaintanceship|ʔ ɐ k w e n t ɐ n s e ʃ ɪ p
acrid|ʔ ɐ k ɾ i d
activity(2)|ʔ ɐ k t ɪ b i t͡ʃ
actually(4)|ʔ ɐ k t w ɐ l l ɪ
acuity|ʔ ɐ x u ʔ ɪ t ɪ
ad-hoc|ʔ ɐ d͡ʒ h o k
adamec|ʔ ɐ d a m e k
adams'|ʔ ɐ d a m s
addendums|ʔ ɐ d e n d u m s
addidas|ʔ ɐ dː i d ɐ s
additive(2)|ʔ ɐ d ɪ t i b e
address(2)|ʔ ɐ d d ɾ e s
ader|ʔ ɐ d e ɾ
adham|ʔ ɐ d h a m
adjudged|ʔ ɐ d͡ʒ ʊ d͡ʒ e d
adolpha|ʔ ɐ d o l p h ɐ
adoptee|ʔ ɐ d o p t e ʔ e
ads'|ʔ ɐ d s
adulate|ʔ ɐ d ʊ l a t e
advil's|ʔ ɐ d b i l s
advisory(2)|ʔ ɐ d b ɪ s o ɾ ɪ
aegon|ʔ ɐ ʔ e ɰ o n
aeromexico|ʔ ɐ e ɾ o m e ʃ ɪ x o
affable|ʔ ɐ f f a b l e
aflame|ʔ ɐ f l a m e
afresh|ʔ ɐ f ɾ e s h
aganbegyan|ʔ ɐ ɰ ɐ m b e ɡ j a n
aggressions|ʔ ɐ ɡ ɡ ɾ e ʃ o n s
agner|ʔ ɐ ɡ n e ɾ
agrifuel|ʔ ɐ ɡ ɾ ɪ f w e l
ahlen|ʔ ɐ h l e n
ahmed(2)|ʔ ɐ h m e d
ahrens|ʔ ɐ h ɾ e n s
aipac's|ʔ ɐ ʔ ɪ p a k s
alabamans|ʔ ɐ l ɐ b ɐ m a n s
alamito|ʔ ɐ l ɐ m i t o
alarice|ʔ ɐ l ɐ ɾ i s e
albarran|ʔ ɐ l b ɐ ɾ a n
alberthal|ʔ ɐ l b e ɾ t h a l
alcatel's|ʔ ɐ l k ɐ t e l s
alco|ʔ ɐ l k o
alcorta|ʔ ɐ l k o ɾ t ɐ
alderidge|ʔ ɐ l d e ɾ i d͡ʒ e
aldus|ʔ ɐ l d u s
alerting|ʔ ɐ l e ɾ t ɪ ŋ
algiers|ʔ ɐ l ɡ i e ɾ s
alignments|ʔ ɐ l ɪ ɡ m m e n t s
aliquippa|ʔ ɐ l ɪ x i p p ɐ
alito|ʔ ɐ l i t o
allebach(2)|ʔ ɐ l l e b a x
allied's|ʔ ɐ l j e d s
allman|ʔ ɐ l l m a n
alls|ʔ ɐ l l s
allude|ʔ ɐ l l u d e
alma(2)|ʔ ɐ l m ɐ ʔ e ʔ
aloisio|ʔ ɐ l o ʔ ɪ s ɪ o
alsbrooks|ʔ ɐ l s b ɾ ʊ k s
altfest|ʔ ɐ l t f e s t
altman|ʔ ɐ l t m a n
altschuler(2)|ʔ ɐ l t͡ʃ ʊ l e ɾ
alward|ʔ ɐ l w a ɾ d
alys|ʔ ɐ l ɪ s
amalie|ʔ ɐ m a l ɪ e
amazonians|ʔ ɐ m ɐ s o n i ɐ n s
amble|ʔ ɐ m b l e
ameliorated|ʔ ɐ m e l j o ɾ a t e d
amenta|ʔ ɐ m e n t ɐ
americanized|ʔ ɐ m e ɾ ɪ x ɐ n i s e d
ameritech's|ʔ ɐ m e ɾ ɪ t e t͡ʃ
amortize|ʔ ɐ m o ɾ t i s e
analysts(4)|ʔ ɐ n ɐ l ɪ s t s
anaren|ʔ ɐ n a ɾ e n
anchor's|ʔ ɐ ŋ t͡ʃ o ɾ s
andoras|ʔ ɐ n d o ɾ ɐ s
andriessen|ʔ ɐ n d ɾ i e s e n
angeles'|ʔ ɐ ŋ e l e s
angier|ʔ ɐ ŋ i e ɾ
animate(2)|ʔ ɐ n ɪ m ɐ t e
anklet|ʔ ɐ ŋ k l e t
annoy|ʔ ɐ n n o ɪ̯
ansa's|ʔ ɐ n s a ʔ s
antar|ʔ ɐ n t a ɾ
antenne|ʔ ɐ n t e n e
anticipation(2)|ʔ ɐ n t ɪ s ɪ p a ʃ o n
antlered|ʔ ɐ n t l e ɾ e d
antril|ʔ ɐ n t ɾ i l
antuna|ʔ ɐ n t u n ɐ
aoun's|ʔ ɐ ʔ o ʊ n s
apollo's|ʔ ɐ p o l l o s
appalachian(2)|ʔ ɐ p ɐ l ɐ t͡ʃ i ɐ n
appeasing|ʔ ɐ p e ɐ s i ŋ
arabic(2)|ʔ ɐ ɾ a b ɪ k
arbitrage|ʔ ɐ ɾ b ɪ t ɾ a ɰ e
arco's|ʔ ɐ ɾ k o s
arcturus|ʔ ɐ ɾ k t u ɾ ʊ s
argiro|ʔ ɐ ɾ ɡ i ɾ o
argueta|ʔ ɐ ɾ ɡ e t ɐ
arkady|ʔ ɐ ɾ k a d ɪ
arntson|ʔ ɐ ɾ n t͡ʃ o n
arranges|ʔ ɐ ɾ a ŋ e s
arris|ʔ ɐ ɾ i s
arrowheads(2)|ʔ ɐ ɾ o w h e ɐ̯ d s
asche|ʔ a s k e
ashbaugh(2)|ʔ ɐ ʃ b a ʊ̯ ɡ h
ashland's|ʔ ɐ s h l a n d s
assed|ʔ ɐ s e d
asserted|ʔ ɐ s e ɾ t e d
assicurazioni|ʔ ɐ s ɪ x ʊ ɾ ɐ ʃ o n ɪ
astounded|ʔ ɐ s t o ʔ ʊ n d e d
astronomers|ʔ ɐ s t ɾ o n o m e ɾ s
athanas|ʔ ɐ t h a n ɐ s
atlanta's(2)|ʔ ɐ t l ɐ n t ɐ s
atsushi(2)|ʔ ɐ t͡ʃ ʊ s h i ʔ
attends|ʔ ɐ t e n d s
aufhauser|ʔ a ʊ̯ f h a ʊ̯ s e ɾ
augustine(2)|ʔ a ʊ̯ ɰ ʊ s t i n e
aulds|ʔ a ʊ̯ l d s
auntie(2)|ʔ a ʊ̯ n t͡ʃ e ʔ e
auslander|ʔ a ʊ̯ s l a n d e ɾ
austin's|ʔ a ʊ̯ s t ɪ n s
author's|ʔ a ʊ̯ t h o ɾ s
auto's|ʔ a ʊ̯ t o s
autofacts|ʔ a ʊ̯ t o f a k t͡s
automate|ʔ a ʊ̯ t o m a t e
automotive's|ʔ a ʊ̯ t o m o t ɪ b e s
auxton|ʔ a ʊ̯ k s t o n
avedisian|ʔ ɐ b e d i s ɐ n
awaiting|ʔ ɐ w ɐ ʔ ɪ t i ŋ
ayyad's(2)|ʔ a j ɐ d s
azerbaijanis(2)|ʔ ɐ s e ɾ b ɐ ʔ ɪ h a n ɪ s
babbling|b ɐ b b l i ŋ
babushkas|b ɐ b ʊ ʃ k a s
baccari|b ɐ k a ɾ ɪ
backpedal|b ɐ k p e d a l
bady|b a d ɪ
baidoan's|b ɐ ʔ ɪ d o ʔ ɐ n s
baillie|b a ɪ̯ l j e
baldus|b ɐ l d u s
bancorp's(2)|b ɐ ŋ k o ɾ p s
banded|b ɐ n d e d
banis|b ɐ n i s
bann|b ɐ n n
baptist(2)|b ɐ p t i s t
barberi|b ɐ ɾ b e ɾ ɪ
barbour's|b ɐ ɾ b o ʊ̯ ɾ s
barkman|b ɐ ɾ k m a n
barnevik|b ɐ ɾ n e b ɪ k
barraged|b ɐ ɾ ɐ ɰ e d
barrentine|b ɐ ɾ e n t i n e
barrier(2)|b ɐ ɾ ɪ e ɾ
bartman|b ɐ ɾ t m a n
bass(2)|b ɐ s s
bassinger|b ɐ s ɪ ŋ e ɾ
bastions|b ɐ s t͡ʃ o n s
batchelder|b ɐ t͡ʃ e l d e ɾ
batignolles|b ɐ t ɪ ɡ n o l l e s
battaglini|b ɐ t ɐ ɡ l i n ɪ
battiste|b ɐ t i s t e
baumgartner(2)|b a ʊ̯ m ɡ ɐ ɾ t n e ɾ
bawden|b a ʊ̯ d e n
baye|b a j e
beavers|b e ɐ b e ɾ s
becks|b e k s
bedfellow|b e d f e l l o
bedolla|b e d o l l ɐ
beechy|b e ʔ e t͡ʃ ɪ
beemer|b e e m e ɾ
beethovenian|b e ʔ e t h o b e n j ɐ n
begeman|b e ɰ e m ɐ n
begotten|b e ɰ o t e n
behringwerke|b e h ɾ ɪ ŋ w e ɾ k e
beilman|b e ɪ̯ l m a n
belcastro|b e l k a s t ɾ o
belgrade(2)|b e l ɡ ɾ ɐ d e
belland|b e l l ɐ n d
belnap|b e l n ɐ p
beman|b e m ɐ n
ben's|b e n s
bendel|b e n d e l
bendorf|b e n d o ɾ f
benenati|b e n e n a t ɪ ʔ
bennetts|b e n n e t͡ʃ
bensel|b e n s e l
bergquist|b e ɾ ɡ k ɪ s t
berko|b e ɾ k o
bermudas|b e ɾ m u d ɐ s
bernbach|b e ɾ n b a x
berninger|b e ɾ n ɪ ŋ e ɾ
berrard(2)|b e ɾ ɾ ɐ ɾ d
besieging|b e s ɪ e ɰ ɪ ŋ
best's|b e s t s
bestseller(2)|b e s t͡ʃ e l l e ɾ
bettencourt|b e t e ŋ k o ʊ ɾ t
betweens(2)|b e t w e ʔ e n s
beverage(2)|b e b e ɾ ɐ ɰ e
beyersdorf|b e j e ɾ s d o ɾ f
bhattacharjy|b h ɐ t ɐ t͡ʃ a ɾ d͡ʒ ɪ
biagioni|b ɪ ɐ ɰ ɪ o n i
bicker|b ɪ k e ɾ
bielanski|b ɪ e l a n s k ɪ
bierbauer's|b i ɾ b a ʊ̯ e ɾ s
bigler(3)|b ɪ ɡ l e ɾ s e
bihari|b ɪ h a ɾ ɪ ʔ
bill's|b ɪ l l s
billes|b ɪ l j e s
billingsly|b ɪ l l ɪ ŋ s l ɪ
biohazard|b ɪ o h a s ɐ ɾ d
biologists(2)|b ɪ o l o ɰ ɪ s t s
biotherapeutic|b ɪ o t h e ɾ ɐ p e w t ɪ k
birdsong|b ɪ ɾ d͡ʒ o ŋ
birk|b ɪ ɾ k
birmid|b ɪ ɾ m i d
bitar|b ɪ t a ɾ
biweekly|b ɪ w e ʔ e k l ɪ
blackshire|b l ɐ k ʃ i ɾ e
blalock|b l ɐ l o k
blanda|b l a n d ɐ
blansett|b l ɐ n s e t
blassingame|b l ɐ s ɪ ŋ a m e
blauser|b l a ʊ̯ s e ɾ
bleich|b l e ɪ̯ t͡ʃ
blissfully|b l ɪ s f ʊ l l i
blocher|b l o t͡ʃ e ɾ
bloodiest|b l ʊ d͡ʒ i e s t
blouin|b l o w ɪ n
bluechip|b l ʊ e t͡ʃ i p
bluhdorn|b l ʊ h d o ɾ n
blunter|b l ʊ n t e ɾ
bly|b l ɪ
boatright|b o ɐ t ɾ i ɡ h t
bocek|b o s e k
bodes|b o d e s
boehmke|b o e h m k e
boese|b o e s e
bogged(2)|b o ɡ ɡ e d
bogucki|b o ɰ u k ɪ
bohling|b o h l ɪ ŋ
boivin|b o ɪ̯ b i n
bolle|b o l l e
bolstering|b o l s t e ɾ ɪ ŋ
bonacci|b o n a k s ɪ
bongard|b o ŋ ɐ ɾ d
bonica|b o n ɪ x a
bonwit's|b o n w ɪ t s
bookcase|b ʊ k k a s e
booknote|b ʊ k n o t e
boomeranged|b ʊ m e ɾ a ŋ e d
bootstrap|b o ʔ o t s t ɾ ɐ p
borak|b o ɾ ɐ k
bordonaro|b o ɾ d o n a ɾ o
borland's|b o ɾ l ɐ n d s
borth|b o ɾ t
bosarge|b o s a ɾ ɡ e
boslego|b o s l e ɰ o
bossard|b o s a ɾ d
boston(2)|b o s t o n
botanists(2)|b o t ɐ n i s t s
botshabelo|b o t͡ʃ h ɐ b e l o
bouche|b o ʊ̯ t͡ʃ e
bouie|b o w ɪ e
boulier|b o ʊ̯ l j e ɾ
boycotting|b o ɪ̯ x o t ɪ ŋ
boylston|b o ɪ̯ l s t o n
bradeen|b ɾ ɐ d e ʔ e n
bradycardia(2)|b ɾ ɐ d ɪ x a ɾ d͡ʒ ɐ s e
branco|b ɾ a ŋ k o
branz|b ɾ a n s
brashear|b ɾ ɐ ʃ e ɐ ɾ
brautigams|b ɾ a ʊ̯ t ɪ ɰ a m s
breaths|b ɾ e ɐ t͡ʃ
breeden's|b ɾ e ʔ e d e n s
breining|b ɾ e ɪ̯ n ɪ ŋ
brennecke|b ɾ e n n e k e
bresnick|b ɾ e s n ɪ k
breuninger|b ɾ e ʔ ʊ n ɪ ŋ e ɾ
bricker|b ɾ ɪ k e ɾ
brieant|b ɾ ɪ e j ɐ n t
brimhall|b ɾ ɪ m h a l l
brining|b ɾ i n ɪ ŋ
briski|b ɾ ɪ s k i
broaden|b ɾ o ɐ d e n
broadus|b ɾ o ɐ d u s
brockwell|b ɾ o k w e l l
brodrick|b ɾ o d ɾ ɪ k
broken-winded|b ɾ o k e n w ɪ n d e d
brookens|b ɾ ʊ x e n s
brossette|b ɾ o s e t e
brouhard|b ɾ o ʊ h a ɾ d
broyard|b ɾ o j a ɾ d
bruck|b ɾ ʊ k
bruening|b ɾ ʊ e n ɪ ŋ
brumback|b ɾ u m b ɐ k
brunell|b ɾ ʊ n e l l
brunkow|b ɾ ʊ ŋ k o ʊ̯
brute|b ɾ u t e
bryan's|b ɾ ɪ ɐ n s
bua(2)|b ʊ ɐ ʔ e ʔ
buchan|b u t͡ʃ ɐ n
buchmann|b ʊ x m a n
buckeye|b ʊ k e j e
buckskin|b ʊ k s k i n
budson|b ʊ d s o n
bufkin|b ʊ f k i n
building's|b ɪ l d i ŋ s
bullwinkle|b ʊ l w ɪ ŋ k l e
bungling(2)|b ʊ ŋ l i ŋ k
burchette|b ʊ ɾ t͡ʃ e t e
burdon|b ʊ ɾ d o n
burfield|b ʊ ɾ f i ʔ e l d
burglarize|b ʊ ɾ ɡ l ɐ ɾ i s e
burklund|b ʊ ɾ k l ʊ n d
burnette|b ʊ ɾ n e t e
burrowers|b ʊ ɾ o w e ɾ s
busby|b ʊ s b i
bushart|b ʊ s h a ɾ t
bussing|b ʊ s i ŋ
butcher's|b ʊ t͡ʃ e ɾ s
buttermore|b ʊ t e ɾ m o ɾ e
butulesi|b ʊ t ʊ l e s i
byerley|b j e ɾ l e ɪ̯
cablecomms|k x ɐ b l e x o m s
cabrall's|k x ɐ b ɾ a l l s
cacioppo|k x ɐ ʃ o p p o
cadavers|k x ɐ d ɐ b e ɾ s
cadwallader|k x ɐ d w ɐ l j ɐ d e ɾ
cafarelli|k x ɐ f ɐ ɾ e l l ɪ
caillouet|k x a ɪ̯ l j o w e t
caison|k x ɐ ʔ ɪ s o n
caley|k x a l e ɪ̯
calill|k x ɐ l i l l
calmart's|k x ɐ l m a ɾ t s
cambre|k x a m b ɾ e
cammarano|k x ɐ m m ɐ ɾ a n o
campanaro|k x ɐ m p ɐ n a ɾ o
campfires|k x ɐ m p f i ɾ e s
camro|k x ɐ m ɾ o
cannata|k x ɐ n n a t ɐ
cannistraro|k x ɐ n n ɪ s t ɾ a ɾ o
cantley|k x ɐ n t l e ɪ̯
canupp|k x ɐ n u p p
capel|k x a p e l
capitalists(2)|k x ɐ p ɪ t ɐ l i s t s
caplin|k x ɐ p l i n
capstick|k x ɐ p s t i k
carbone|k x ɐ ɾ b o n e
cared|k x a ɾ e d
carelock|k x ɐ ɾ e l o k
carini|k x ɐ ɾ i n ɪ
carolco's|k x ɐ ɾ o l k o s
carports|k x ɐ ɾ p o ɾ t͡s
